File:         02packages.details.txt
URL:          http://www.perl.com/CPAN/modules/02packages.details.txt
Description:  Package names found in cpanfile.snapshot
Columns:      package name, version, path
Intended-For: Automated fetch routines, namespace documentation.
Written-By:   Carton v1.0.28
Line-Count:   324
Last-Updated: Sat Nov 25 03:18:22 2017

Blog                              undef  J/JH/JHTHORSEN/Mojo-mysql-1.05.tar.gz
Blog::Controller::Posts           undef  J/JH/JHTHORSEN/Mojo-mysql-1.05.tar.gz
Blog::Model::Posts                undef  J/JH/JHTHORSEN/Mojo-mysql-1.05.tar.gz
Bundle::DBD::mysql                4.043  M/MI/MICHIELB/DBD-mysql-4.043.tar.gz
Bundle::DBI                    12.008696  T/TI/TIMB/DBI-1.637.tar.gz
Class::Method::Modifiers           2.12  E/ET/ETHER/Class-Method-Modifiers-2.12.tar.gz
Clone                              0.39  G/GA/GARU/Clone-0.39.tar.gz
DBD::DBM                           0.08  T/TI/TIMB/DBI-1.637.tar.gz
DBD::DBM::db                       0.08  T/TI/TIMB/DBI-1.637.tar.gz
DBD::DBM::dr                       0.08  T/TI/TIMB/DBI-1.637.tar.gz
DBD::DBM::st                       0.08  T/TI/TIMB/DBI-1.637.tar.gz
DBD::DBM::Statement                0.08  T/TI/TIMB/DBI-1.637.tar.gz
DBD::DBM::Table                    0.08  T/TI/TIMB/DBI-1.637.tar.gz
DBD::ExampleP                  12.014311  T/TI/TIMB/DBI-1.637.tar.gz
DBD::ExampleP::db              12.014311  T/TI/TIMB/DBI-1.637.tar.gz
DBD::ExampleP::dr              12.014311  T/TI/TIMB/DBI-1.637.tar.gz
DBD::ExampleP::st              12.014311  T/TI/TIMB/DBI-1.637.tar.gz
DBD::File                          0.44  T/TI/TIMB/DBI-1.637.tar.gz
DBD::File::DataSource::File        0.44  T/TI/TIMB/DBI-1.637.tar.gz
DBD::File::DataSource::Stream      0.44  T/TI/TIMB/DBI-1.637.tar.gz
DBD::File::db                      0.44  T/TI/TIMB/DBI-1.637.tar.gz
DBD::File::dr                      0.44  T/TI/TIMB/DBI-1.637.tar.gz
DBD::File::st                      0.44  T/TI/TIMB/DBI-1.637.tar.gz
DBD::File::Statement               0.44  T/TI/TIMB/DBI-1.637.tar.gz
DBD::File::Table                   0.44  T/TI/TIMB/DBI-1.637.tar.gz
DBD::File::TableSource::FileSystem 0.44  T/TI/TIMB/DBI-1.637.tar.gz
DBD::Gofer                     0.015327  T/TI/TIMB/DBI-1.637.tar.gz
DBD::Gofer::db                 0.015327  T/TI/TIMB/DBI-1.637.tar.gz
DBD::Gofer::dr                 0.015327  T/TI/TIMB/DBI-1.637.tar.gz
DBD::Gofer::Policy::Base       0.010088  T/TI/TIMB/DBI-1.637.tar.gz
DBD::Gofer::Policy::classic    0.010088  T/TI/TIMB/DBI-1.637.tar.gz
DBD::Gofer::Policy::pedantic   0.010088  T/TI/TIMB/DBI-1.637.tar.gz
DBD::Gofer::Policy::rush       0.010088  T/TI/TIMB/DBI-1.637.tar.gz
DBD::Gofer::st                 0.015327  T/TI/TIMB/DBI-1.637.tar.gz
DBD::Gofer::Transport::Base    0.014121  T/TI/TIMB/DBI-1.637.tar.gz
DBD::Gofer::Transport::corostream undef  T/TI/TIMB/DBI-1.637.tar.gz
DBD::Gofer::Transport::null    0.010088  T/TI/TIMB/DBI-1.637.tar.gz
DBD::Gofer::Transport::pipeone 0.010088  T/TI/TIMB/DBI-1.637.tar.gz
DBD::Gofer::Transport::stream  0.014599  T/TI/TIMB/DBI-1.637.tar.gz
DBD::mysql                        4.043  M/MI/MICHIELB/DBD-mysql-4.043.tar.gz
DBD::mysql::db                    4.043  M/MI/MICHIELB/DBD-mysql-4.043.tar.gz
DBD::mysql::dr                    4.043  M/MI/MICHIELB/DBD-mysql-4.043.tar.gz
DBD::mysql::GetInfo               undef  M/MI/MICHIELB/DBD-mysql-4.043.tar.gz
DBD::mysql::st                    4.043  M/MI/MICHIELB/DBD-mysql-4.043.tar.gz
DBD::NullP                     12.014715  T/TI/TIMB/DBI-1.637.tar.gz
DBD::NullP::db                 12.014715  T/TI/TIMB/DBI-1.637.tar.gz
